invoice_no,po_no,sku,qty_billed,qty_ordered,qty_received,unit_price_invoice,unit_price_po,line_flag,notes,status,ref_date_str
INV-941,PO-2025-100,ITEM-PAPER,3,6,6,75000,75000,OK,,MATCH,2025-02-17
INV-886,PO-2025-114,ITEM-KEYB,2,6,6,220000,220000,OK,,MATCH,2025-02-06
INV-886,PO-2025-114,ITEM-ROUTER,10,14,14,950000,950000,OK,,MATCH,2025-02-06
INV-876,PO-2025-100,ITEM-PAPER,1,6,6,75000,75000,OK,,MATCH,2025-03-24
INV-944,PO-2025-112,ITEM-MOUSE,6,15,15,120000,120000,OK,,MATCH,2025-03-29
INV-937,PO-2025-102,ITEM-SWITCH8,19,18,18,650000,650000,QTY_VARIANCE;QTY_VARIANCE,Billed 19 > ordered 18; Billed 19 > received 18,REVIEW,2025-02-26
INV-937,PO-2025-102,ITEM-ROUTER,2,7,7,950000,950000,OK,,MATCH,2025-02-26
INV-774,PO-2025-118,ITEM-PAPER,12,17,17,75000,75000,OK,,MATCH,2025-03-12
INV-980,PO-2025-104,ITEM-PAPER,9,14,14,82500,75000,PRICE_VARIANCE,Price diff 10.00%,REVIEW,2025-02-09
INV-980,PO-2025-104,ITEM-SWITCH8,4,9,9,650000,650000,OK,,MATCH,2025-02-09
INV-980,PO-2025-104,ITEM-INK,5,8,5,180000,180000,OK,,MATCH,2025-02-09
INV-956,PO-2025-106,ITEM-MOUSE,9,11,11,120000,120000,OK,,MATCH,2025-02-16
INV-731,PO-2025-113,ITEM-PAPER,6,7,7,75000,75000,OK,,MATCH,2025-03-31
INV-956,PO-2025-118,ITEM-PAPER,1,17,17,75000,75000,OK,,MATCH,2025-02-09
INV-702,PO-2025-114,ITEM-ROUTER,8,14,14,950000,950000,OK,,MATCH,2025-03-22
INV-984,PO-2025-119,ITEM-SWITCH8,18,19,19,650000,650000,OK,,MATCH,2025-02-04
INV-986,PO-2025-115,ITEM-INK,1,5,3,180000,180000,OK,,MATCH,2025-02-04
